Approach,Reduction,Method,Silhouette,DaviesBouldin,CalinskiHarabasz,Dunn,SDIndex,XieBeni,n_clusters,ARI,NMI,Homogeneity,Completeness,VMeasure,FMI,Purity
Feature-Based,PCA,HDBSCAN,0.37933271088824605,2.2072856927981963,88.74841073393857,0.09241175004081972,1.2551421838966583,4.912170639284294,5,0.38195111778648894,0.5962322461948267,0.4944605200117046,0.7507555884824494,0.5962322461948267,0.5765024941905903,0.4899135446685879
Feature-Based,PCA,SOM,0.06133248554648103,1.5990643325132292,24.36927351642314,0.07027997458252533,0.633263943264831,5.999148420261154,70,0.13945608632637455,0.5897411658036288,0.9794680234813998,0.42187757344394144,0.5897411658036288,0.2972183135194959,0.9827089337175793
Feature-Based,UMAP,KMeans,0.15090913171331985,2.157559724635336,82.35059425623135,0.0643710924026986,0.9540020337034659,11.46755477879525,6,0.7073012163656374,0.8581730729069627,0.8557539153996476,0.8606059467735167,0.8581730729069627,0.760117710618726,0.8501440922190202
Feature-Based,UMAP,MiniBatchKMeans,0.11721074313729288,2.0077201864974934,80.35834610764005,0.08832128449706708,0.9478922176686687,7.825874354053977,6,0.7027358230077484,0.8521818994766475,0.8040748419574022,0.906411675531789,0.8521818994766475,0.7771880852219603,0.8414985590778098
Feature-Based,UMAP,CAH_Ward,0.21396554960968245,1.7476793186890403,84.23067923093454,0.10409317158092024,0.9247048307145924,7.5479186748705915,6,0.8133334715762913,0.8908558448337637,0.858966304661987,0.9252045104846467,0.8908558448337636,0.8534087000091519,0.8530259365994236
Feature-Based,UMAP,GMM,0.15216397988102645,2.1657544602868417,82.36283399660438,0.05731565389516907,0.957452860416542,11.404433718954653,6,0.7087804052073359,0.8585732061388774,0.8559835144940063,0.8611786150355869,0.8585732061388774,0.761363523975755,0.8501440922190202
Feature-Based,UMAP,Spectral,-0.09032274476294588,1.813876533347525,19.910555924835283,0.08144051960085552,1.1155835453946668,9.693045108994598,6,0.3116614583074582,0.6073340391904434,0.505416428268789,0.7607372999797727,0.6073340391904435,0.5390068080072818,0.6311239193083573
Feature-Based,UMAP,Birch,0.21396554960968245,1.7476793186890403,84.23067923093454,0.10409317158092024,0.9247048307145924,7.5479186748705915,6,0.8133334715762913,0.8908558448337637,0.858966304661987,0.9252045104846467,0.8908558448337636,0.8534087000091519,0.8530259365994236
Feature-Based,UMAP,Affinity,0.13945661476256507,2.022778481111957,73.77039150443287,0.08832128449706708,0.9407265044094528,7.405804161091126,7,0.9036641030081514,0.9188321598807602,0.9361573746569327,0.9021365592587779,0.9188321598807602,0.920757184703403,0.9740634005763689
Feature-Based,UMAP,DBSCAN,0.1363401650285308,1.788700467437239,81.28773540113228,0.08832128449706708,0.8015997040706042,6.874984951044681,7,0.7212281491968412,0.8651012900501902,0.8291693719170611,0.9042884824635921,0.8651012900501902,0.7886266732084871,0.8386167146974063
Feature-Based,UMAP,OPTICS,-0.09055426544915607,1.6472189122156837,19.35369919002262,0.047156381702056833,0.9074409704979152,15.115511814405663,13,0.19055638990785576,0.5526694064699211,0.6035236404380415,0.5097193306759482,0.5526694064699211,0.34673044487025134,0.579250720461095
Feature-Based,UMAP,HDBSCAN,0.0974165896377205,1.6152952123452606,61.51085348641509,0.08832128449706708,0.8941402691586148,7.281675607191549,8,0.6734060887621589,0.8246215609498592,0.7989732290766897,0.8519712137820593,0.8246215609498592,0.7511259552759326,0.8357348703170029
Feature-Based,UMAP,SOM,0.025919006797095575,1.72846850025259,19.51914352575977,0.0439768023138663,0.6326186500020521,9.630795705986708,53,0.18438417549796238,0.6263787965090474,0.9921503419491119,0.4576566170098232,0.6263787965090474,0.3466460708373809,0.9913544668587896
Feature-Based,TCNA,KMeans,0.13472016722155902,2.185626369210056,86.05572819610767,0.07616779959092895,1.0179681472649529,7.92250440692083,6,0.9804818788380668,0.9775159613493333,0.9777151594860884,0.9773168443646698,0.9775159613493335,0.9839583920922624,0.9913544668587896
Feature-Based,TCNA,MiniBatchKMeans,0.1984250168497459,2.1252509852036248,81.78700311040969,0.06980307850956059,1.0428759001244123,8.210393295494946,6,0.7342481911723004,0.8122632262756403,0.7998072659682798,0.8251132951494387,0.8122632262756403,0.7843133191548608,0.8213256484149856
Feature-Based,TCNA,CAH_Ward,0.12211749454826067,2.277521041667353,83.8813051824268,0.05820666242118561,1.0147401560860005,8.392881803622863,6,0.9111144332822048,0.9249453627139937,0.9233038566453057,0.9265927159178541,0.9249453627139937,0.9270428694901389,0.9510086455331412
Feature-Based,TCNA,GMM,0.12646213401841297,2.1164910632702805,86.07045932428812,0.07616779959092895,1.0112525456942036,7.921747895088044,6,0.9699131302195689,0.9638322811532654,0.9637949960972882,0.9638695690941491,0.9638322811532656,0.9752747257698738,0.9855907780979827
